Index,date_full,province,category,value,date
198,4/5/2020,Manitoba,Retail & recreation,-54,Apr 05
200,4/5/2020,Manitoba,Grocery & pharmacy,-29,Apr 05
202,4/5/2020,Manitoba,Parks,-30,Apr 05
204,4/5/2020,Manitoba,Transit stations,-61,Apr 05
206,4/5/2020,Manitoba,Workplace,-40,Apr 05
208,4/5/2020,Manitoba,Residential,12,Apr 05
211,4/5/2020,New Brunswick,Retail & recreation,-43,Apr 05
213,4/5/2020,New Brunswick,Grocery & pharmacy,-23,Apr 05
215,4/5/2020,New Brunswick,Parks,78,Apr 05
217,4/5/2020,New Brunswick,Transit stations,-53,Apr 05
219,4/5/2020,New Brunswick,Workplace,-37,Apr 05
221,4/5/2020,New Brunswick,Residential,8,Apr 05
224,4/5/2020,Newfoundland and Labrador,Retail & recreation,-43,Apr 05
226,4/5/2020,Newfoundland and Labrador,Grocery & pharmacy,-25,Apr 05
228,4/5/2020,Newfoundland and Labrador,Parks,23,Apr 05
230,4/5/2020,Newfoundland and Labrador,Transit stations,-58,Apr 05
232,4/5/2020,Newfoundland and Labrador,Workplace,-33,Apr 05
234,4/5/2020,Newfoundland and Labrador,Residential,8,Apr 05
237,4/5/2020,Northwest Territories,Retail & recreation,-53,Apr 05
239,4/5/2020,Northwest Territories,Grocery & pharmacy,-41,Apr 05
243,4/5/2020,Northwest Territories,Transit stations,-62,Apr 05
245,4/5/2020,Northwest Territories,Workplace,-34,Apr 05
248,4/5/2020,Nova Scotia,Retail & recreation,-38,Apr 05
250,4/5/2020,Nova Scotia,Grocery & pharmacy,-15,Apr 05
252,4/5/2020,Nova Scotia,Parks,44,Apr 05
254,4/5/2020,Nova Scotia,Transit stations,-51,Apr 05
256,4/5/2020,Nova Scotia,Workplace,-33,Apr 05
258,4/5/2020,Nova Scotia,Residential,5,Apr 05
261,4/5/2020,Nunavut,Retail & recreation,-36,Apr 05
269,4/5/2020,Nunavut,Workplace,-23,Apr 05
272,4/5/2020,Ontario,Retail & recreation,-60,Apr 05
274,4/5/2020,Ontario,Grocery & pharmacy,-32,Apr 05
276,4/5/2020,Ontario,Parks,-11,Apr 05
278,4/5/2020,Ontario,Transit stations,-67,Apr 05
280,4/5/2020,Ontario,Workplace,-47,Apr 05
282,4/5/2020,Ontario,Residential,14,Apr 05
285,4/5/2020,Prince Edward Island,Retail & recreation,-41,Apr 05
287,4/5/2020,Prince Edward Island,Grocery & pharmacy,-20,Apr 05
289,4/5/2020,Prince Edward Island,Parks,-51,Apr 05
293,4/5/2020,Prince Edward Island,Workplace,-32,Apr 05
295,4/5/2020,Prince Edward Island,Residential,25,Apr 05
298,4/5/2020,Quebec,Retail & recreation,-84,Apr 05
300,4/5/2020,Quebec,Grocery & pharmacy,-78,Apr 05
302,4/5/2020,Quebec,Parks,-42,Apr 05
304,4/5/2020,Quebec,Transit stations,-75,Apr 05
306,4/5/2020,Quebec,Workplace,-52,Apr 05
308,4/5/2020,Quebec,Residential,16,Apr 05
311,4/5/2020,Saskatchewan,Retail & recreation,-55,Apr 05
313,4/5/2020,Saskatchewan,Grocery & pharmacy,-29,Apr 05
315,4/5/2020,Saskatchewan,Parks,-14,Apr 05
317,4/5/2020,Saskatchewan,Transit stations,-59,Apr 05
319,4/5/2020,Saskatchewan,Workplace,-39,Apr 05
321,4/5/2020,Saskatchewan,Residential,12,Apr 05
324,4/5/2020,Yukon,Retail & recreation,-41,Apr 05
326,4/5/2020,Yukon,Grocery & pharmacy,-26,Apr 05
332,4/5/2020,Yukon,Workplace,-32,Apr 05
